Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,33150.000000,33450.000000,32700.000000,32900.000000,32045.455078,436252
2020-10-30,32900.000000,32950.000000,32100.000000,32100.000000,31266.234375,377466
2020-11-02,31950.000000,32750.000000,31900.000000,32650.000000,31801.947266,186459
2020-11-03,32700.000000,33100.000000,32650.000000,32900.000000,32045.455078,266082
2020-11-04,33200.000000,33400.000000,32800.000000,32950.000000,32094.156250,190816
2020-11-05,33150.000000,33300.000000,32950.000000,33250.000000,32386.363281,315852
2020-11-06,33300.000000,33300.000000,32650.000000,32850.000000,31996.753906,347922
2020-11-09,33000.000000,33550.000000,33000.000000,33400.000000,32532.466797,395112
2020-11-10,34650.000000,34750.000000,33550.000000,34150.000000,33262.988281,608783
2020-11-11,34900.000000,35400.000000,34350.000000,35000.000000,34090.910156,1320050
2020-11-12,34900.000000,34900.000000,34000.000000,34050.000000,33165.585938,431137
2020-11-13,33800.000000,34100.000000,33500.000000,33700.000000,32824.675781,266242
2020-11-16,33750.000000,34150.000000,33650.000000,33750.000000,32873.375000,415451
2020-11-17,33900.000000,34250.000000,33800.000000,34050.000000,33165.585938,390133
2020-11-18,34150.000000,34250.000000,33900.000000,33900.000000,33019.480469,280485
2020-11-19,33800.000000,34100.000000,33550.000000,34100.000000,33214.285156,215890
2020-11-20,34150.000000,34400.000000,33900.000000,34300.000000,33409.089844,206324
2020-11-23,34350.000000,34350.000000,34050.000000,34200.000000,33311.687500,286914
2020-11-24,34250.000000,34350.000000,34100.000000,34200.000000,33311.687500,392020
2020-11-25,34250.000000,34400.000000,33900.000000,34050.000000,33165.585938,394967
2020-11-26,34050.000000,34050.000000,33650.000000,33700.000000,32824.675781,323080
2020-11-27,33850.000000,33950.000000,33600.000000,33650.000000,32775.972656,182625
2020-11-30,33650.000000,33950.000000,33650.000000,33750.000000,32873.375000,272924
2020-12-01,33950.000000,34050.000000,33800.000000,33900.000000,33019.480469,233164
2020-12-02,34100.000000,34100.000000,33700.000000,33900.000000,33019.480469,326066
2020-12-03,33950.000000,34350.000000,33800.000000,34150.000000,33262.988281,352396
2020-12-04,34100.000000,34100.000000,33700.000000,33850.000000,32970.777344,337512
2020-12-07,34000.000000,34100.000000,33750.000000,33800.000000,32922.078125,252640
2020-12-08,33950.000000,34000.000000,33600.000000,33600.000000,32727.271484,223038
2020-12-09,33700.000000,33800.000000,33600.000000,33800.000000,32922.078125,176554
2020-12-10,33900.000000,34250.000000,33600.000000,34100.000000,33214.285156,338750
2020-12-11,34200.000000,35450.000000,34200.000000,34900.000000,33993.507813,799042
2020-12-14,34850.000000,35250.000000,34550.000000,34700.000000,33798.699219,390377
