Date,Open,High,Low,Close,Adj Close,Volume
2020-12-30,133500.000000,135500.000000,132500.000000,135500.000000,135500.000000,25983
2021-01-04,134000.000000,134000.000000,132000.000000,132000.000000,132000.000000,47745
2021-01-05,132000.000000,135000.000000,131500.000000,134500.000000,134500.000000,45974
2021-01-06,134500.000000,136000.000000,132500.000000,134000.000000,134000.000000,51001
2021-01-07,135500.000000,139000.000000,133500.000000,136500.000000,136500.000000,79835
2021-01-08,138000.000000,142500.000000,136500.000000,141000.000000,141000.000000,105333
2021-01-11,141000.000000,141500.000000,134500.000000,135500.000000,135500.000000,69442
2021-01-12,137000.000000,141500.000000,134000.000000,140500.000000,140500.000000,89517
2021-01-13,140000.000000,148500.000000,140000.000000,147500.000000,147500.000000,135734
2021-01-14,146000.000000,152500.000000,146000.000000,151500.000000,151500.000000,109615
2021-01-15,151500.000000,152000.000000,144500.000000,145000.000000,145000.000000,75654
2021-01-18,143000.000000,144000.000000,140500.000000,140500.000000,140500.000000,37172
2021-01-19,140500.000000,147500.000000,140000.000000,145000.000000,145000.000000,41581
2021-01-20,145000.000000,147000.000000,144000.000000,147000.000000,147000.000000,50662
2021-01-21,147500.000000,162000.000000,147500.000000,156000.000000,156000.000000,143118
2021-01-22,156500.000000,156500.000000,151500.000000,152000.000000,152000.000000,62510
2021-01-25,152000.000000,160500.000000,151500.000000,155500.000000,155500.000000,82986
2021-01-26,155000.000000,161500.000000,153500.000000,160500.000000,160500.000000,124596
2021-01-27,161000.000000,163000.000000,157500.000000,158000.000000,158000.000000,65876
2021-01-28,153000.000000,167500.000000,153000.000000,165000.000000,165000.000000,91596
2021-01-29,165000.000000,181000.000000,162000.000000,170000.000000,170000.000000,200940
2021-02-01,168000.000000,169000.000000,163000.000000,164000.000000,164000.000000,64398
2021-02-02,163000.000000,165000.000000,160500.000000,161500.000000,161500.000000,62919
2021-02-03,161000.000000,165000.000000,160000.000000,164500.000000,164500.000000,42538
2021-02-04,162500.000000,164000.000000,160000.000000,161500.000000,161500.000000,32933
2021-02-05,162000.000000,164000.000000,160500.000000,162500.000000,162500.000000,25699
2021-02-08,162500.000000,166000.000000,160500.000000,163000.000000,163000.000000,43729
2021-02-09,163500.000000,166000.000000,162000.000000,165000.000000,165000.000000,36145
